typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","170","COL","Colombia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","36941.057",,"36941.057","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","178","COG","Congo","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","14.92",,"14.92","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1142347.223",,"1142347.223","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","188","CRI","Costa Rica","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6090.46",,"6090.46","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","191","HRV","Croatia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","94335.565",,"94335.565","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","192","CUB","Cuba","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9680.601",,"9680.601","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","196","CYP","Cyprus","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2572111.821",,"2572111.821","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","203","CZE","Czechia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5741835.576",,"5741835.576","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","204","BEN","Benin","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1056.976",,"1056.976","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","208","DNK","Denmark","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1287306.426",,"1287306.426","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","214","DOM","Dominican Rep.","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","47182.937",,"47182.937","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","218","ECU","Ecuador","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1422.262",,"1422.262","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","222","SLV","El Salvador","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1151.113",,"1151.113","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","226","GNQ","Equatorial Guinea","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","36.703",,"36.703","0","false","true",
