reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUS,X,2024,3.0,91514566427.66,33.49
AUT,M,2000,0.0,1808165965.0,2.67
AUT,M,2000,1.0,3304087566.0,4.88
AUT,M,2000,2.0,1893957970.0,2.8
AUT,M,2000,3.0,60748745604.0,89.66
AUT,M,2001,0.0,2372341303.0,3.4
AUT,M,2001,1.0,2984260339.0,4.27
AUT,M,2001,2.0,2450469803.0,3.51
AUT,M,2001,3.0,62024450986.0,88.82
AUT,M,2002,0.0,2179014310.0,3.02
AUT,M,2002,1.0,2997025393.0,4.16
AUT,M,2002,2.0,2702111574.0,3.75
AUT,M,2002,3.0,64211284712.0,89.07
AUT,M,2003,0.0,2975322341.0,3.28
AUT,M,2003,1.0,3603586438.0,3.97
AUT,M,2003,2.0,3555474738.0,3.91
AUT,M,2003,3.0,80709202728.0,88.84
AUT,M,2004,0.0,3943309395.0,3.57
AUT,M,2004,1.0,4124525798.0,3.74
AUT,M,2004,2.0,4737864998.0,4.29
AUT,M,2004,3.0,97583714185.0,88.4
AUT,M,2005,0.0,4776254436.0,4.01
AUT,M,2005,1.0,6116945505.0,5.14
AUT,M,2005,2.0,4849485144.0,4.08
AUT,M,2005,3.0,103243007796.0,86.77
AUT,M,2006,0.0,6310313254.0,4.73
AUT,M,2006,1.0,7207227823.0,5.4
AUT,M,2006,2.0,5704325516.0,4.27
AUT,M,2006,3.0,114312196160.0,85.61
AUT,M,2007,0.0,8268384729.0,5.33
AUT,M,2007,1.0,7538234513.0,4.86
AUT,M,2007,2.0,6686824684.0,4.31
AUT,M,2007,3.0,132667021461.0,85.5
AUT,M,2008,0.0,10037837546.0,5.77
AUT,M,2008,1.0,9890246252.0,5.68
AUT,M,2008,2.0,7425195499.0,4.27
AUT,M,2008,3.0,146659960766.0,84.28
AUT,M,2009,0.0,7589417635.0,5.59
AUT,M,2009,1.0,6803895519.0,5.01
AUT,M,2009,2.0,5900789261.0,4.35
AUT,M,2009,3.0,115483646001.0,85.05
AUT,M,2010,0.0,8896571881.0,5.94
AUT,M,2010,1.0,7796406800.0,5.2
AUT,M,2010,2.0,7189836590.0,4.8
AUT,M,2010,3.0,125904246469.0,84.06
AUT,M,2011,0.0,10916237140.0,6.02
