reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,refYear,primaryValue
76,BRA,Brazil,208,DNK,Denmark,M,Import,2000,191745043
76,BRA,Brazil,212,DMA,Dominica,M,Import,2000,112
76,BRA,Brazil,214,DOM,Dominican Rep.,M,Import,2000,1986252
76,BRA,Brazil,218,ECU,Ecuador,M,Import,2000,20582002
76,BRA,Brazil,222,SLV,El Salvador,M,Import,2000,293404
76,BRA,Brazil,226,GNQ,Equatorial Guinea,M,Import,2000,10685957
76,BRA,Brazil,231,ETH,Ethiopia,M,Import,2000,62953
76,BRA,Brazil,233,EST,Estonia,M,Import,2000,7850815
76,BRA,Brazil,234,FRO,Faeroe Isds,M,Import,2000,78100
76,BRA,Brazil,242,FJI,Fiji,M,Import,2000,11719
76,BRA,Brazil,246,FIN,Finland,M,Import,2000,321387600
76,BRA,Brazil,251,FRA,France,M,Import,2000,1961272882
76,BRA,Brazil,266,GAB,Gabon,M,Import,2000,1722
76,BRA,Brazil,268,GEO,Georgia,M,Import,2000,7949
76,BRA,Brazil,276,DEU,Germany,M,Import,2000,4666015918
76,BRA,Brazil,288,GHA,Ghana,M,Import,2000,1171742
76,BRA,Brazil,292,GIB,Gibraltar,M,Import,2000,1234897
76,BRA,Brazil,296,KIR,Kiribati,M,Import,2000,1064475
76,BRA,Brazil,300,GRC,Greece,M,Import,2000,34308597
76,BRA,Brazil,304,GRL,Greenland,M,Import,2000,5166
76,BRA,Brazil,308,GRD,Grenada,M,Import,2000,395479
76,BRA,Brazil,316,GUM,Guam,M,Import,2000,193
76,BRA,Brazil,320,GTM,Guatemala,M,Import,2000,1065441
76,BRA,Brazil,324,GIN,Guinea,M,Import,2000,2384950
76,BRA,Brazil,328,GUY,Guyana,M,Import,2000,62046
76,BRA,Brazil,332,HTI,Haiti,M,Import,2000,46684
76,BRA,Brazil,336,VAT,Holy See (Vatican City State),M,Import,2000,175
76,BRA,Brazil,340,HND,Honduras,M,Import,2000,724240
76,BRA,Brazil,344,HKG,"China, Hong Kong SAR",M,Import,2000,390918749
76,BRA,Brazil,348,HUN,Hungary,M,Import,2000,108732376
76,BRA,Brazil,352,ISL,Iceland,M,Import,2000,2723795
76,BRA,Brazil,360,IDN,Indonesia,M,Import,2000,279244230
76,BRA,Brazil,364,IRN,Iran,M,Import,2000,10383367
76,BRA,Brazil,368,IRQ,Iraq,M,Import,2000,227854388
76,BRA,Brazil,372,IRL,Ireland,M,Import,2000,250394355
76,BRA,Brazil,376,ISR,Israel,M,Import,2000,376258285
76,BRA,Brazil,380,ITA,Italy,M,Import,2000,2272170544
76,BRA,Brazil,384,CIV,Côte d'Ivoire,M,Import,2000,68995438
76,BRA,Brazil,388,JAM,Jamaica,M,Import,2000,1240396
76,BRA,Brazil,392,JPN,Japan,M,Import,2000,3113561477
76,BRA,Brazil,398,KAZ,Kazakhstan,M,Import,2000,311307
76,BRA,Brazil,400,JOR,Jordan,M,Import,2000,5151582
76,BRA,Brazil,404,KEN,Kenya,M,Import,2000,1112043
76,BRA,Brazil,408,PRK,Dem. People's Rep. of Korea,M,Import,2000,134724960
76,BRA,Brazil,410,KOR,Rep. of Korea,M,Import,2000,1543113684
76,BRA,Brazil,414,KWT,Kuwait,M,Import,2000,88740794
76,BRA,Brazil,417,KGZ,Kyrgyzstan,M,Import,2000,15104
76,BRA,Brazil,418,LAO,Lao People's Dem. Rep.,M,Import,2000,369
76,BRA,Brazil,422,LBN,Lebanon,M,Import,2000,674538
76,BRA,Brazil,426,LSO,Lesotho,M,Import,2000,495
76,BRA,Brazil,428,LVA,Latvia,M,Import,2000,160059936
76,BRA,Brazil,430,LBR,Liberia,M,Import,2000,28741
76,BRA,Brazil,434,LBY,Libya,M,Import,2000,9039893
76,BRA,Brazil,440,LTU,Lithuania,M,Import,2000,780431
76,BRA,Brazil,442,LUX,Luxembourg,M,Import,2000,23897919
76,BRA,Brazil,446,MAC,"China, Macao SAR",M,Import,2000,1240878
76,BRA,Brazil,450,MDG,Madagascar,M,Import,2000,164338
76,BRA,Brazil,454,MWI,Malawi,M,Import,2000,47314
76,BRA,Brazil,458,MYS,Malaysia,M,Import,2000,509030524
76,BRA,Brazil,466,MLI,Mali,M,Import,2000,25364495
76,BRA,Brazil,470,MLT,Malta,M,Import,2000,16106011
76,BRA,Brazil,478,MRT,Mauritania,M,Import,2000,5918506
76,BRA,Brazil,480,MUS,Mauritius,M,Import,2000,135694
76,BRA,Brazil,484,MEX,Mexico,M,Import,2000,808224057
76,BRA,Brazil,490,S19,"Other Asia, nes",M,Import,2000,889989696
76,BRA,Brazil,496,MNG,Mongolia,M,Import,2000,35252
76,BRA,Brazil,498,MDA,Rep. of Moldova,M,Import,2000,7195
76,BRA,Brazil,504,MAR,Morocco,M,Import,2000,89503344
76,BRA,Brazil,508,MOZ,Mozambique,M,Import,2000,3413728
76,BRA,Brazil,512,OMN,Oman,M,Import,2000,596144
76,BRA,Brazil,524,NPL,Nepal,M,Import,2000,411082
76,BRA,Brazil,528,NLD,Netherlands,M,Import,2000,728868115
76,BRA,Brazil,530,ANT,Netherlands Antilles (...2010),M,Import,2000,22159921
76,BRA,Brazil,533,ABW,Aruba,M,Import,2000,29107743
76,BRA,Brazil,540,NCL,New Caledonia,M,Import,2000,46674
76,BRA,Brazil,554,NZL,New Zealand,M,Import,2000,38170221
76,BRA,Brazil,558,NIC,Nicaragua,M,Import,2000,53143
76,BRA,Brazil,562,NER,Niger,M,Import,2000,10505
76,BRA,Brazil,566,NGA,Nigeria,M,Import,2000,758609022
76,BRA,Brazil,574,NFK,Norfolk Isds,M,Import,2000,56
76,BRA,Brazil,579,NOR,Norway,M,Import,2000,220356555
76,BRA,Brazil,581,UMI,United States Minor Outlying Islands,M,Import,2000,3964
76,BRA,Brazil,583,FSM,FS Micronesia,M,Import,2000,50256
76,BRA,Brazil,585,PLW,Palau,M,Import,2000,3662
76,BRA,Brazil,586,PAK,Pakistan,M,Import,2000,7110968
76,BRA,Brazil,591,PAN,Panama,M,Import,2000,17003204
76,BRA,Brazil,600,PRY,Paraguay,M,Import,2000,1445171972
76,BRA,Brazil,604,PER,Peru,M,Import,2000,223293886
76,BRA,Brazil,608,PHL,Philippines,M,Import,2000,130842915
76,BRA,Brazil,616,POL,Poland,M,Import,2000,95817516
76,BRA,Brazil,620,PRT,Portugal,M,Import,2000,182108753
76,BRA,Brazil,642,ROU,Romania,M,Import,2000,4591323
76,BRA,Brazil,643,RUS,Russian Federation,M,Import,2000,606040893
76,BRA,Brazil,654,SHN,Saint Helena,M,Import,2000,235
76,BRA,Brazil,659,KNA,Saint Kitts and Nevis,M,Import,2000,3367
76,BRA,Brazil,662,LCA,Saint Lucia,M,Import,2000,162
76,BRA,Brazil,666,SPM,Saint Pierre and Miquelon,M,Import,2000,44029
76,BRA,Brazil,674,SMR,San Marino,M,Import,2000,4902065
76,BRA,Brazil,678,STP,Sao Tome and Principe,M,Import,2000,368
76,BRA,Brazil,682,SAU,Saudi Arabia,M,Import,2000,823286212
76,BRA,Brazil,686,SEN,Senegal,M,Import,2000,1863157
76,BRA,Brazil,694,SLE,Sierra Leone,M,Import,2000,1041
76,BRA,Brazil,699,IND,India,M,Import,2000,293980218
76,BRA,Brazil,702,SGP,Singapore,M,Import,2000,298752629
76,BRA,Brazil,703,SVK,Slovakia,M,Import,2000,7271346
76,BRA,Brazil,704,VNM,Viet Nam,M,Import,2000,20798854
76,BRA,Brazil,705,SVN,Slovenia,M,Import,2000,39537169
76,BRA,Brazil,710,ZAF,South Africa,M,Import,2000,244719669
76,BRA,Brazil,716,ZWE,Zimbabwe,M,Import,2000,5931729
76,BRA,Brazil,724,ESP,Spain,M,Import,2000,1187966394
76,BRA,Brazil,732,ESH,Western Sahara,M,Import,2000,5940
76,BRA,Brazil,736,SDN,Sudan (...2011),M,Import,2000,405791
76,BRA,Brazil,740,SUR,Suriname,M,Import,2000,536
76,BRA,Brazil,748,SWZ,Eswatini,M,Import,2000,730894
76,BRA,Brazil,752,SWE,Sweden,M,Import,2000,805569046
76,BRA,Brazil,757,CHE,Switzerland,M,Import,2000,859462796
76,BRA,Brazil,760,SYR,Syria,M,Import,2000,3703804
76,BRA,Brazil,762,TJK,Tajikistan,M,Import,2000,6011665
76,BRA,Brazil,764,THA,Thailand,M,Import,2000,240257207
76,BRA,Brazil,768,TGO,Togo,M,Import,2000,7606059
76,BRA,Brazil,780,TTO,Trinidad and Tobago,M,Import,2000,46752911
76,BRA,Brazil,784,ARE,United Arab Emirates,M,Import,2000,68832074
76,BRA,Brazil,788,TUN,Tunisia,M,Import,2000,49092307
76,BRA,Brazil,792,TUR,Türkiye,M,Import,2000,48094658
76,BRA,Brazil,795,TKM,Turkmenistan,M,Import,2000,1938110
76,BRA,Brazil,796,TCA,Turks and Caicos Isds,M,Import,2000,2080
76,BRA,Brazil,798,TUV,Tuvalu,M,Import,2000,31278
76,BRA,Brazil,800,UGA,Uganda,M,Import,2000,116876
76,BRA,Brazil,804,UKR,Ukraine,M,Import,2000,88343530
76,BRA,Brazil,807,MKD,North Macedonia,M,Import,2000,6862
76,BRA,Brazil,818,EGY,Egypt,M,Import,2000,38453130
76,BRA,Brazil,826,GBR,United Kingdom,M,Import,2000,1286957972
76,BRA,Brazil,834,TZA,United Rep. of Tanzania,M,Import,2000,5253
76,BRA,Brazil,842,USA,USA,M,Import,2000,13625798023
76,BRA,Brazil,854,BFA,Burkina Faso,M,Import,2000,1751082
76,BRA,Brazil,858,URY,Uruguay,M,Import,2000,624166493
76,BRA,Brazil,860,UZB,Uzbekistan,M,Import,2000,26688122
76,BRA,Brazil,862,VEN,Venezuela,M,Import,2000,1408507687
76,BRA,Brazil,887,YEM,Yemen,M,Import,2000,45732987
76,BRA,Brazil,891,SCG,Serbia and Montenegro (...2005),M,Import,2000,562362
76,BRA,Brazil,894,ZMB,Zambia,M,Import,2000,136567
72,BWA,Botswana,24,AGO,Angola,X,Export,2000,10486
72,BWA,Botswana,36,AUS,Australia,X,Export,2000,121722
72,BWA,Botswana,40,AUT,Austria,X,Export,2000,33622
72,BWA,Botswana,50,BGD,Bangladesh,X,Export,2000,2320
72,BWA,Botswana,56,BEL,Belgium,X,Export,2000,2144573
72,BWA,Botswana,124,CAN,Canada,X,Export,2000,836844
72,BWA,Botswana,156,CHN,China,X,Export,2000,6785
72,BWA,Botswana,180,COD,Dem. Rep. of the Congo,X,Export,2000,483486
72,BWA,Botswana,203,CZE,Czechia,X,Export,2000,872
72,BWA,Botswana,208,DNK,Denmark,X,Export,2000,27458
72,BWA,Botswana,231,ETH,Ethiopia,X,Export,2000,5085
72,BWA,Botswana,246,FIN,Finland,X,Export,2000,6317
72,BWA,Botswana,251,FRA,France,X,Export,2000,4860911
72,BWA,Botswana,276,DEU,Germany,X,Export,2000,14618573
72,BWA,Botswana,288,GHA,Ghana,X,Export,2000,163643
72,BWA,Botswana,300,GRC,Greece,X,Export,2000,3706216
72,BWA,Botswana,344,HKG,"China, Hong Kong SAR",X,Export,2000,66511
72,BWA,Botswana,368,IRQ,Iraq,X,Export,2000,403
72,BWA,Botswana,372,IRL,Ireland,X,Export,2000,190896
72,BWA,Botswana,376,ISR,Israel,X,Export,2000,16700861
72,BWA,Botswana,380,ITA,Italy,X,Export,2000,7349799
72,BWA,Botswana,392,JPN,Japan,X,Export,2000,7070
72,BWA,Botswana,404,KEN,Kenya,X,Export,2000,631548
72,BWA,Botswana,410,KOR,Rep. of Korea,X,Export,2000,3708
72,BWA,Botswana,426,LSO,Lesotho,X,Export,2000,355958
72,BWA,Botswana,450,MDG,Madagascar,X,Export,2000,461808
72,BWA,Botswana,454,MWI,Malawi,X,Export,2000,3186596
72,BWA,Botswana,458,MYS,Malaysia,X,Export,2000,32066
72,BWA,Botswana,480,MUS,Mauritius,X,Export,2000,338412
72,BWA,Botswana,490,S19,"Other Asia, nes",X,Export,2000,646130
72,BWA,Botswana,508,MOZ,Mozambique,X,Export,2000,864642
72,BWA,Botswana,516,NAM,Namibia,X,Export,2000,5079297
72,BWA,Botswana,527,O19,"Oceania, nes",X,Export,2000,4445
72,BWA,Botswana,528,NLD,Netherlands,X,Export,2000,1148192
72,BWA,Botswana,554,NZL,New Zealand,X,Export,2000,165689
72,BWA,Botswana,566,NGA,Nigeria,X,Export,2000,12682
72,BWA,Botswana,568,E19,"Other Europe, nes",X,Export,2000,100394
72,BWA,Botswana,577,F19,"Other Africa, nes",X,Export,2000,949011
72,BWA,Botswana,579,NOR,Norway,X,Export,2000,76920054
72,BWA,Botswana,586,PAK,Pakistan,X,Export,2000,833137
72,BWA,Botswana,616,POL,Poland,X,Export,2000,1924
72,BWA,Botswana,620,PRT,Portugal,X,Export,2000,417501
72,BWA,Botswana,637,A59,"North America and Central America, nes",X,Export,2000,262634
72,BWA,Botswana,643,RUS,Russian Federation,X,Export,2000,1404
72,BWA,Botswana,690,SYC,Seychelles,X,Export,2000,98
72,BWA,Botswana,699,IND,India,X,Export,2000,175797
72,BWA,Botswana,702,SGP,Singapore,X,Export,2000,16214
72,BWA,Botswana,710,ZAF,South Africa,X,Export,2000,180758654
72,BWA,Botswana,716,ZWE,Zimbabwe,X,Export,2000,108196993
72,BWA,Botswana,724,ESP,Spain,X,Export,2000,624622
72,BWA,Botswana,736,SDN,Sudan (...2011),X,Export,2000,134462
72,BWA,Botswana,748,SWZ,Eswatini,X,Export,2000,389414
72,BWA,Botswana,752,SWE,Sweden,X,Export,2000,90010
72,BWA,Botswana,757,CHE,Switzerland,X,Export,2000,370432848
72,BWA,Botswana,800,UGA,Uganda,X,Export,2000,460191
72,BWA,Botswana,826,GBR,United Kingdom,X,Export,2000,1942892134
72,BWA,Botswana,834,TZA,United Rep. of Tanzania,X,Export,2000,1883206
72,BWA,Botswana,842,USA,USA,X,Export,2000,16646348
72,BWA,Botswana,891,SCG,Serbia and Montenegro (...2005),X,Export,2000,8611
72,BWA,Botswana,894,ZMB,Zambia,X,Export,2000,12355047
76,BRA,Brazil,4,AFG,Afghanistan,X,Export,2000,8656
76,BRA,Brazil,8,ALB,Albania,X,Export,2000,228569
76,BRA,Brazil,12,DZA,Algeria,X,Export,2000,41405084
76,BRA,Brazil,20,AND,Andorra,X,Export,2000,5638
76,BRA,Brazil,24,AGO,Angola,X,Export,2000,105978131
76,BRA,Brazil,28,ATG,Antigua and Barbuda,X,Export,2000,738775
76,BRA,Brazil,31,AZE,Azerbaijan,X,Export,2000,874605
76,BRA,Brazil,32,ARG,Argentina,X,Export,2000,6229543769
76,BRA,Brazil,36,AUS,Australia,X,Export,2000,338897810
76,BRA,Brazil,40,AUT,Austria,X,Export,2000,99750160
76,BRA,Brazil,44,BHS,Bahamas,X,Export,2000,23013516
76,BRA,Brazil,48,BHR,Bahrain,X,Export,2000,58889517
76,BRA,Brazil,50,BGD,Bangladesh,X,Export,2000,48904229
76,BRA,Brazil,51,ARM,Armenia,X,Export,2000,1516885
76,BRA,Brazil,52,BRB,Barbados,X,Export,2000,15979395
76,BRA,Brazil,56,BEL,Belgium,X,Export,2000,1778417889
76,BRA,Brazil,60,BMU,Bermuda,X,Export,2000,415389
76,BRA,Brazil,68,BOL,Bolivia (Plurinational State of),X,Export,2000,362525301
76,BRA,Brazil,70,BIH,Bosnia Herzegovina,X,Export,2000,1536070
76,BRA,Brazil,72,BWA,Botswana,X,Export,2000,142995
