reporterISO,flowCode,refYear,regime_index,primaryValue
BWA,M,2006,2.0,51397173.0
BWA,M,2006,3.0,2841713252.0
BWA,M,2007,0.0,114721096.0
BWA,M,2007,1.0,75257302.0
BWA,M,2007,2.0,65624999.0
BWA,M,2007,3.0,3720762697.0
BWA,M,2008,0.0,183661606.0
BWA,M,2008,1.0,87803792.0
BWA,M,2008,2.0,86105198.0
BWA,M,2008,3.0,4845063865.0
BWA,M,2009,0.0,187949839.0
BWA,M,2009,1.0,76466249.0
BWA,M,2009,2.0,70311505.0
BWA,M,2009,3.0,4386947419.0
BWA,M,2013,0.0,151757163.0
BWA,M,2013,1.0,108859455.0
BWA,M,2013,2.0,5488807035.0
BWA,M,2013,3.0,1680353488.0
BWA,M,2014,0.0,122821812.587
BWA,M,2014,1.0,124538110.062
BWA,M,2014,2.0,7223648215.549
BWA,M,2014,3.0,1675982756.204
BWA,M,2015,0.0,178087968.868
BWA,M,2015,1.0,194879182.19500002
BWA,M,2015,2.0,6506617732.966001
BWA,M,2015,3.0,1164167713.205
BWA,M,2016,0.0,156136695.0
BWA,M,2016,1.0,212598762.0
BWA,M,2016,2.0,4759025758.0
BWA,M,2016,3.0,970173440.0
BWA,M,2017,0.0,236931323.766
BWA,M,2017,1.0,338672226.559
BWA,M,2017,2.0,3818334477.093
BWA,M,2017,3.0,939656705.771
BWA,M,2018,0.0,231804816.931
BWA,M,2018,1.0,404809051.114
BWA,M,2018,2.0,4637354553.648001
BWA,M,2018,3.0,1185246688.817
BWA,M,2019,0.0,253369650.562
BWA,M,2019,1.0,650639482.444
BWA,M,2019,2.0,4408738846.206
BWA,M,2019,3.0,1343059402.352
BWA,M,2020,0.0,536150255.052
BWA,M,2020,1.0,446060530.35400003
BWA,M,2020,2.0,4583834426.679
BWA,M,2020,3.0,1037445142.738
BWA,M,2021,0.0,670507245.631
BWA,M,2021,1.0,743382258.6389999
BWA,M,2021,2.0,5097469126.473001
BWA,M,2021,3.0,1949344562.679
BWA,M,2022,0.0,393390614.643
BWA,M,2022,1.0,589891552.916
BWA,M,2022,2.0,6149076413.481
BWA,M,2022,3.0,977409461.667
BWA,M,2023,0.0,288624820.398
BWA,M,2023,1.0,341627917.546
BWA,M,2023,2.0,5304527152.231999
BWA,M,2023,3.0,476924251.305
BWA,X,2000,0.0,2146180.0
BWA,X,2000,1.0,127780234.0
BWA,X,2000,2.0,5882865.0
BWA,X,2000,3.0,2641045830.0
BWA,X,2001,0.0,2169602.0
BWA,X,2001,1.0,80776627.0
BWA,X,2001,2.0,1329895.0
BWA,X,2001,3.0,2448162739.0
BWA,X,2002,0.0,3742397.0
BWA,X,2002,1.0,91698280.0
BWA,X,2002,2.0,2737762.0
BWA,X,2002,3.0,2646589058.0
BWA,X,2003,0.0,2230184.0
BWA,X,2003,1.0,102541044.0
BWA,X,2003,2.0,7493621.0
BWA,X,2003,3.0,3689179273.0
BWA,X,2004,0.0,3645149.0
BWA,X,2004,1.0,140298237.0
BWA,X,2004,2.0,6137374.0
BWA,X,2004,3.0,3312018148.0
BWA,X,2005,0.0,5587919.0
BWA,X,2005,1.0,206375580.0
BWA,X,2005,2.0,16945386.0
BWA,X,2005,3.0,4181096304.0
BWA,X,2006,0.0,16448454.0
BWA,X,2006,1.0,264927671.0
BWA,X,2006,2.0,31225409.0
BWA,X,2006,3.0,4188526095.0
BWA,X,2007,0.0,104254804.0
BWA,X,2007,1.0,377117275.0
BWA,X,2007,2.0,20435618.0
BWA,X,2007,3.0,4569106820.0
BWA,X,2008,0.0,242835174.0
BWA,X,2008,1.0,277089258.0
BWA,X,2008,2.0,130000860.0
BWA,X,2008,3.0,4286482619.0
BWA,X,2009,0.0,86478423.0
BWA,X,2009,1.0,209319959.0
BWA,X,2009,2.0,76408323.0
BWA,X,2009,3.0,3079411561.0
BWA,X,2013,0.0,228215016.0
BWA,X,2013,1.0,299234555.0
BWA,X,2013,2.0,1225024121.0
BWA,X,2013,3.0,5820736614.0
BWA,X,2014,0.0,722871103.0239999
BWA,X,2014,1.0,509684033.115
BWA,X,2014,2.0,3146608917.526
BWA,X,2014,3.0,4158749632.034
BWA,X,2015,0.0,587024548.978
