reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUT,M,2000,0.0,2105873271.0,3.11
AUT,M,2000,1.0,2755109523.0,4.07
AUT,M,2000,2.0,2145228707.0,3.17
AUT,M,2000,3.0,60748745604.0,89.66
AUT,M,2001,0.0,2372341303.0,3.4
AUT,M,2001,1.0,2982643784.0,4.27
AUT,M,2001,2.0,2452086358.0,3.51
AUT,M,2001,3.0,62024450986.0,88.82
AUT,M,2002,0.0,2133041588.0,2.96
AUT,M,2002,1.0,3097956095.0,4.3
AUT,M,2002,2.0,2647153594.0,3.67
AUT,M,2002,3.0,64211284712.0,89.07
AUT,M,2003,0.0,2974863147.0,3.27
AUT,M,2003,1.0,3595643332.0,3.96
AUT,M,2003,2.0,3555002865.0,3.91
AUT,M,2003,3.0,80718076901.0,88.85
AUT,M,2004,0.0,3943262144.0,3.57
AUT,M,2004,1.0,4295721091.0,3.89
AUT,M,2004,2.0,4554840195.0,4.13
AUT,M,2004,3.0,97595590946.0,88.41
AUT,M,2005,0.0,4773967327.0,4.01
AUT,M,2005,1.0,6156704235.0,5.17
AUT,M,2005,2.0,4811756514.0,4.04
AUT,M,2005,3.0,103243264805.0,86.77
AUT,M,2006,0.0,6309887406.0,4.73
AUT,M,2006,1.0,7104307781.0,5.32
AUT,M,2006,2.0,5807671406.0,4.35
AUT,M,2006,3.0,114312196160.0,85.61
AUT,M,2007,0.0,9031120590.0,5.82
AUT,M,2007,1.0,6793262726.0,4.38
AUT,M,2007,2.0,6352801126.0,4.09
AUT,M,2007,3.0,132983280945.0,85.71
AUT,M,2008,0.0,9187232418.0,5.28
AUT,M,2008,1.0,10744780074.0,6.17
AUT,M,2008,2.0,7421089203.0,4.26
AUT,M,2008,3.0,146660138368.0,84.28
AUT,M,2009,0.0,7589663629.0,5.59
AUT,M,2009,1.0,6807727412.0,5.01
AUT,M,2009,2.0,5856423567.0,4.31
AUT,M,2009,3.0,115523933808.0,85.08
AUT,M,2010,0.0,8902022408.0,5.94
AUT,M,2010,1.0,8634912746.0,5.76
AUT,M,2010,2.0,10495698833.0,7.01
AUT,M,2010,3.0,121754427753.0,81.29
AUT,M,2011,0.0,10900020771.0,6.01
AUT,M,2011,1.0,12451897152.0,6.86
AUT,M,2011,2.0,12902249402.0,7.11
AUT,M,2011,3.0,145130331269.0,80.01
AUT,M,2012,0.0,10573199713.935,6.6
AUT,M,2012,1.0,7205674063.147,4.5
AUT,M,2012,2.0,12923965875.674,8.07
AUT,M,2012,3.0,129480740432.684,80.83
AUT,M,2013,0.0,10976114086.199,6.62
AUT,M,2013,1.0,8414809489.548,5.08
AUT,M,2013,2.0,13178973535.703,7.95
