reporterISO,refYear,flowCode,v2x_regime,primaryValue,share
AFG,2009,X,0.0,21929576.0,5.44
AFG,2009,X,1.0,275151863.0,68.2
AFG,2009,X,2.0,82997073.0,20.57
AFG,2009,X,3.0,23362494.0,5.79
AFG,2018,M,0.0,1877502098.8500001,25.72
AFG,2018,M,1.0,4672436773.28,64.02
AFG,2018,M,2.0,58320102.36000001,0.8
AFG,2018,M,3.0,690274018.88,9.46
AFG,2018,X,0.0,57030059.2,6.45
AFG,2018,X,1.0,812405269.83,91.85
AFG,2018,X,2.0,876895.84,0.1
AFG,2018,X,3.0,14131906.13,1.6
AFG,2019,M,0.0,1374691101.7100003,16.28
AFG,2019,M,1.0,5688406692.7,67.36
AFG,2019,M,2.0,70670097.11,0.84
AFG,2019,M,3.0,1310956521.93,15.52
AFG,2019,X,0.0,67627008.6,7.77
AFG,2019,X,1.0,779782057.23,89.6
AFG,2019,X,2.0,700757.9299999999,0.08
AFG,2019,X,3.0,22213490.14,2.55
AGO,2004,M,0.0,445325750.461,8.79
AGO,2004,M,1.0,175996407.375,3.47
AGO,2004,M,2.0,728763106.726,14.38
AGO,2004,M,3.0,3716762735.823,73.35
AGO,2004,X,0.0,4429666095.27,37.04
AGO,2004,X,1.0,10277847.576000001,0.09
AGO,2004,X,2.0,969003590.53,8.1
AGO,2004,X,3.0,6550625592.958,54.77
AGO,2005,M,0.0,1625542729.452,20.59
AGO,2005,M,1.0,299449134.22,3.79
AGO,2005,M,2.0,1091221846.5740001,13.82
AGO,2005,M,3.0,4876981959.606,61.79
AGO,2005,X,0.0,6966316303.647,31.15
AGO,2005,X,1.0,121532409.172,0.54
AGO,2005,X,2.0,1034039904.129,4.62
AGO,2005,X,3.0,14239123930.993,63.68
AGO,2006,M,0.0,1259461136.9299998,11.92
AGO,2006,M,1.0,499299903.58000004,4.73
AGO,2006,M,2.0,1581878592.052,14.98
AGO,2006,M,3.0,7220988060.983,68.37
AGO,2006,X,0.0,11511082286.748,38.09
AGO,2006,X,1.0,168804526.23,0.56
AGO,2006,X,2.0,1121221716.533,3.71
AGO,2006,X,3.0,17420161685.436,57.64
AGO,2007,M,0.0,2377241323.0,23.61
AGO,2007,M,1.0,378576514.0,3.76
AGO,2007,M,2.0,1199751354.0,11.92
AGO,2007,M,3.0,6112219304.0,60.71
AGO,2007,X,0.0,13927189004.0,34.06
AGO,2007,X,1.0,3590026.0,0.01
AGO,2007,X,2.0,3826599239.0,9.36
AGO,2007,X,3.0,23137961504.0,56.58
AGO,2008,M,0.0,3316060622.0969996,13.93
AGO,2008,M,1.0,1480577148.264,6.22
AGO,2008,M,2.0,3844716820.055,16.15
AGO,2008,M,3.0,15162233694.742,63.7
AGO,2008,X,0.0,20562027734.978,33.93
AGO,2008,X,1.0,117739033.921,0.19
AGO,2008,X,2.0,5278199948.064,8.71
AGO,2008,X,3.0,34651357750.741,57.17
AGO,2009,M,0.0,3388637254.0,14.22
AGO,2009,M,1.0,1583296701.0,6.64
AGO,2009,M,2.0,4272715350.0,17.93
AGO,2009,M,3.0,14582446288.0,61.2
AGO,2009,X,0.0,16351858420.0,42.3
AGO,2009,X,1.0,34269746.0,0.09
AGO,2009,X,2.0,4115615261.0,10.65
AGO,2009,X,3.0,18152474778.0,46.96
AGO,2010,M,0.0,2391042493.0,13.25
AGO,2010,M,1.0,945764515.0,5.24
AGO,2010,M,2.0,2242316511.0,12.42
AGO,2010,M,3.0,12472353639.0,69.09
AGO,2010,X,0.0,21335516743.0,43.23
AGO,2010,X,1.0,468473011.0,0.95
AGO,2010,X,2.0,6130038807.0,12.42
AGO,2010,X,3.0,21421342243.0,43.4
AGO,2011,M,0.0,2495537213.0,12.02
AGO,2011,M,1.0,1300547749.0,6.27
AGO,2011,M,2.0,2216078393.0,10.68
AGO,2011,M,3.0,14743471749.0,71.03
AGO,2011,X,0.0,24851125887.0,40.8
AGO,2011,X,1.0,216790484.0,0.36
AGO,2011,X,2.0,8205540069.0,13.47
AGO,2011,X,3.0,27633729697.0,45.37
AGO,2012,M,0.0,4739844321.0,16.53
AGO,2012,M,1.0,3268701433.0,11.4
AGO,2012,M,2.0,3669231946.0,12.8
AGO,2012,M,3.0,16994681199.0,59.27
AGO,2012,X,0.0,34435837693.0,52.24
AGO,2012,X,1.0,215096705.0,0.33
AGO,2012,X,2.0,8969252247.0,13.61
AGO,2012,X,3.0,22293875215.0,33.82
AGO,2013,M,0.0,4382677412.0,16.41
AGO,2013,M,1.0,2644209990.0,9.9
AGO,2013,M,2.0,3549569543.0,13.29
AGO,2013,M,3.0,16135272178.0,60.41
AGO,2013,X,0.0,32844467693.0,51.74
AGO,2013,X,1.0,625429797.0,0.99
AGO,2013,X,2.0,10005927649.0,15.76
AGO,2013,X,3.0,20006149097.0,31.51
AGO,2014,M,0.0,5547112192.0,19.36
AGO,2014,M,1.0,3953390400.0,13.8
AGO,2014,M,2.0,4374369882.0,15.26
AGO,2014,M,3.0,14783087054.0,51.58
AGO,2014,X,0.0,29246545157.0,52.04
AGO,2014,X,1.0,185932589.0,0.33
AGO,2014,X,2.0,8446529122.0,15.03
AGO,2014,X,3.0,18323567718.0,32.6
AGO,2015,M,0.0,4498238043.58,20.91
AGO,2015,M,1.0,3968118226.52,18.45
AGO,2015,M,2.0,3086538934.7,14.35
AGO,2015,M,3.0,9954679991.52,46.28
AGO,2015,X,0.0,15086776009.66,46.89
AGO,2015,X,1.0,726796532.3199999,2.26
AGO,2015,X,2.0,5171694054.84,16.07
AGO,2015,X,3.0,11187351820.24,34.77
AGO,2016,M,0.0,2339047544.35,16.34
AGO,2016,M,1.0,1931843986.71,13.5
AGO,2016,M,2.0,2510740785.9,17.54
AGO,2016,M,3.0,7531212757.33,52.62
