Country Code,Time,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],Control of Corruption: Estimate [CC.EST],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],Regulatory Quality: Percentile Rank [RQ.PER.RNK],Rule of Law: Percentile Rank [RL.PER.RNK],"Tariff rate, applied, simple mean, all products (%) [TM.TAX.MRCH.SM.AR.ZS]",regime_0_M_share,regime_1_M_share,regime_2_M_share,regime_3_M_share,regime_0_X_share,regime_1_X_share,regime_2_X_share,regime_3_X_share,dist,memberships
SXM,2011,39730.5467349267,91.9783957985199,8.217294563106798,4.60000341415395,-0.013120438674396754,4.58475435650401,17.384164422040943,93.26654639445061,74.868,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2012,35520.5138693527,91.1888706295688,8.217294563106798,1.39054456773131,-0.013120438674396754,4.01518421081576,17.384164422040943,93.26654639445061,75.125,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2013,36178.1870158544,106.461496450027,8.217294563106798,1.30673103459678,-0.013120438674396754,2.5286478853837,17.384164422040943,93.26654639445061,75.391,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2014,43514.2365385271,84.0791837162675,8.217294563106798,1.58038221539113,-0.013120438674396754,1.88675466275266,17.384164422040943,93.26654639445061,75.735,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2015,44587.5911500766,69.5400132260539,8.217294563106798,0.105813149997005,-0.013120438674396754,0.330027165141066,17.384164422040943,93.26654639445061,75.899,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2016,44845.106868735,69.2353249392177,8.217294563106798,0.96775836306881,-0.013120438674396754,0.111682655737579,17.384164422040943,93.26654639445061,75.952,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2017,44479.2967076826,65.3260479297407,8.217294563106798,-7.53521399882428,-0.013120438674396754,2.19201010962985,17.384164422040943,93.26654639445061,75.455,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2018,41653.2008964784,84.7363104582459,8.217294563106798,-6.85698299227944,-0.013120438674396754,2.19201010962985,17.384164422040943,93.26654639445061,75.693,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2019,45715.6970519376,78.770892970375,8.217294563106798,10.9650009352392,-0.013120438674396754,2.19201010962985,17.384164422040943,93.26654639445061,75.68,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2020,38901.4867603712,59.2027955098447,8.217294563106798,-13.3167887221567,-0.013120438674396754,2.19201010962985,17.384164422040943,93.26654639445061,75.002,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2021,40507.0672411717,67.9195665461546,8.217294563106798,4.57759677933345,-0.013120438674396754,2.19201010962985,17.384164422040943,93.26654639445061,74.505,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2022,47005.4692201479,84.1851213467177,8.217294563106798,9.80000111145777,-0.013120438674396754,2.19201010962985,17.384164422040943,93.26654639445061,76.18,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2023,49826.1146271296,85.3311014521813,8.217294563106798,3.8,-0.013120438674396754,2.19201010962985,17.384164422040943,93.26654639445061,76.371,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2024,49826.1146271296,85.3311014521813,8.217294563106798,3.8,-0.013120438674396754,2.19201010962985,17.384164422040943,93.26654639445061,76.371,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SYC,2000,14637.9590709361,81.9305786153363,9.81,4.25319834931828,0.59229052066803,6.26876876876878,41.3843672873388,151.302447835167,72.7780487804878,92.0634918212891,63.5869560241699,70.6467666625977,27.22,24.44,11.48,5.64,58.43,31.89,0.53,1.08,66.5,8201.0,8.0
SYC,2001,14614.8329920515,104.521592629898,9.81,-2.27116288552982,0.6435026824474335,5.96962204168156,40.9682850891292,179.884914877473,73.2536585365854,84.9206352233887,64.49617958068845,69.65174102783206,27.69,2.26,7.81,3.68,86.25,0.39,2.31,0.29,97.02,8201.0,9.0
SYC,2002,14569.6256457404,87.3156692353733,9.81,1.21283290259314,0.694714844226837,0.174999999999924,46.2621917098316,156.9298895573,71.0878048780488,77.7777786254883,65.405403137207,68.6567153930664,23.805,17.02,11.13,3.85,68.01,20.56,1.59,0.47,77.38,8201.0,9.0
SYC,2003,14141.723004554,91.3634588369341,8.373333333333333,-5.88712848764477,0.791487634181976,3.30255386407089,43.5615561330541,168.844235034216,71.0292682926829,68.3417053222656,70.8108139038086,70.6467666625977,19.92,15.27,10.5,6.37,67.86,16.62,0.76,0.47,82.15,8201.0,9.0
SYC,2004,14160.4071687781,88.2406739746939,6.936666666666667,-2.8504539768538,0.549316823482513,3.85730391367399,38.3064656022623,149.54093675029,72.6609756097561,68.9320373535156,48.2587051391602,65.3846130371094,16.035,25.32,9.28,5.41,59.99,25.15,0.44,0.68,73.73,8201.0,9.0
SYC,2005,15846.051402772,103.793909564892,5.5,9.0057617374238,0.374254941940308,0.907187718073944,34.0095353926169,171.101735954764,72.1317073170732,77.1844635009766,63.235294342041,61.2440185546875,12.15,22.15,10.82,5.34,61.69,29.26,1.4,0.49,68.85,8201.0,8.0
SYC,2006,17503.1964977674,105.137469554663,5.2683333333333335,9.40612855732827,0.334428995847702,-0.353465498693756,38.6985304016463,177.56693551462,72.2170731707317,76.8115921020508,56.3725471496582,56.4593315124512,9.06,31.22,15.46,5.51,47.82,38.5,1.35,0.19,59.95,8201.0,8.0
SYC,2007,19473.4206751205,113.152327758917,5.036666666666667,8.87606645570879,0.336277306079865,5.32060027285142,35.240612036579,174.928462798259,73.1439024390244,74.3961334228516,52.9126205444336,59.3301429748535,9.75,30.77,12.33,4.69,52.21,37.48,1.48,1.15,59.88,8201.0,8.0
SYC,2008,18880.5748559407,154.859538095664,4.805,-2.72594626154864,0.562798917293549,36.9647582875289,28.1173390653355,208.842968505327,73.1634146341463,71.1538467407227,53.3980598449707,59.1346168518066,8.83,31.72,14.97,4.8,48.52,37.96,2.18,0.17,59.68,8201.0,9.0
SYC,2009,18453.4410731205,139.734132765493,4.573333333333333,-2.47937594726137,0.575691282749176,31.7544407744178,29.5981381123108,221.933825358009,73.0829268292683,66.3507080078125,52.6315803527832,57.8199043273926,7.91,31.86,13.878,6.6979999999999995,47.572,35.34,2.004,0.592,62.056,8201.0,9.0
SYC,2010,18981.6586501593,140.991918974498,4.341666666666667,4.50513204312067,0.600197672843933,-2.40463875108227,27.8102511990236,198.162692424328,73.1975609756098,76.7772521972656,52.6315803527832,55.9241714477539,6.99,32.0,12.786000000000001,8.596,46.624,32.72,1.828,1.014,64.432,8201.0,9.0
SYC,2011,21780.7075576057,144.675883946024,4.11,9.5097833517957,0.606024205684662,2.55926772230953,28.3756262839702,210.075382747992,72.7243902439024,75.3554534912109,51.6587677001953,54.9295768737793,6.07,32.14,11.694,10.494,45.676,30.1,1.6520000000000001,1.436,66.808,8201.0,10.0
SYC,2012,22263.822159947,143.931404161332,4.020333333333333,3.1106784939243,0.579943299293518,7.11037062326403,27.4115967343312,222.178254853141,74.2756097560976,70.1421813964844,47.8672981262207,56.8075103759766,5.15,32.28,10.602,12.392,44.728,27.48,1.476,1.8579999999999999,69.184,8201.0,11.0
SYC,2013,22487.2497747,124.516149054854,3.9306666666666668,1.25373496242949,0.600877046585083,4.33893848329099,26.4810210783101,196.517733268793,73.119512195122,72.0379180908203,48.3412322998047,57.7464790344238,4.23,32.42,9.51,14.29,43.78,24.86,1.3,2.28,71.56,8201.0,11.0
SYC,2014,24984.526915426,121.362558189326,3.841,4.0636918123521,0.577862799167633,1.38583454581263,21.9007338679485,213.354469426486,73.2292682926829,59.0476188659668,44.230770111084,65.3846130371094,3.3100000000000005,43.42,5.98,15.48,35.12,35.79,1.07,1.36,61.78,8201.0,11.0
SYC,2015,25435.2289894362,98.1567096942218,4.151,8.9140088750469,1.14188039302826,4.04194410725617,22.2902862090887,187.475012467679,74.2951219512195,67.6190490722656,56.6666679382324,63.8095245361328,2.39,33.78,7.39,21.28,37.55,31.65,1.01,5.68,61.66,8201.0,13.0
SYC,2016,28811.3970334958,95.6319563218465,3.965,12.1175272453913,1.10088229179382,-1.01548191697626,22.3644110312255,180.866188390939,74.309756097561,70.9523773193359,50.476188659668,60.0,2.85,31.04,9.51,20.89,38.56,29.98,2.39,7.54,60.09,8201.0,14.0
SYC,2017,30674.6487335442,110.363638632269,3.715,6.95416218794271,0.8492271900177,2.85679575568437,21.5958431981451,197.442236417869,74.3,73.3333358764648,55.238094329834,59.0476188659668,2.74,37.39,9.65,11.7,41.27,20.48,46.92,3.26,29.34,8201.0,14.0
SYC,2018,32091.2988657346,103.120867488424,3.528,4.93947272254312,0.860159635543823,3.70291839111568,22.8895408301537,185.7075372109,72.8414634146341,67.4528274536133,55.7142868041992,61.4285697937012,2.27,30.75,9.99,16.55,42.7,32.41,2.77,4.71,60.11,8201.0,14.0
SYC,2019,34219.061370118,90.1701145066519,2.966,5.5142920737342,1.17574965953827,1.80709400809982,22.1841344223733,173.407846880196,74.0463414634146,68.3962249755859,56.1904754638672,60.0,8.91,46.89,11.09,10.69,31.33,45.89,3.93,4.21,45.97,8201.0,15.0
SYC,2020,31055.9442055039,103.865913038717,4.311,-11.7398608281732,1.38889753818512,1.20266463987123,26.3767644643015,153.48333156592,77.2365853658537,70.2830200195312,53.8095245361328,59.0476188659668,1.79,20.66,6.49,6.46,66.39,35.09,2.76,6.68,55.48,8201.0,15.0
